
> tank-game-backend@1.0.0 dev
> node server.js

Tank game server running on http://0.0.0.0:3002
Local access: http://localhost:3002
Network access: http://<your-ip>:3002
Player connected: LN3usl0HWqpomJUpAAAB
Player connected: xNigC9B8TKuRWf-1AAAD
Player disconnected: xNigC9B8TKuRWf-1AAAD
Player disconnected: LN3usl0HWqpomJUpAAAB
Player connected: FSGmFMoG4ERehHvMAAAF
Player connected: oVpyNLpHb_y-Z4WTAAAH
Player disconnected: FSGmFMoG4ERehHvMAAAF
Player disconnected: oVpyNLpHb_y-Z4WTAAAH
Player connected: Ue3NdCkcNwaumTHVAAAJ
Player connected: xIaHBQnFRMMWxcCdAAAL
Player disconnected: Ue3NdCkcNwaumTHVAAAJ
Player disconnected: xIaHBQnFRMMWxcCdAAAL
Player connected: Dol8JYGNwh4uXZIjAAAN
Player connected: qjWFKLtIZsaFf9xCAAAP
Player disconnected: Dol8JYGNwh4uXZIjAAAN
Player disconnected: qjWFKLtIZsaFf9xCAAAP
Player connected: M63GiiwLGQFNDeDMAAAS
Player connected: 6ooBSypkZK3BOwpaAAAV
Player connected: wUDls_oJ7vGtVDhlAAAW
Player disconnected: M63GiiwLGQFNDeDMAAAS
Player connected: h8BdbrN9OYOvmHuAAAAY
Player disconnected: h8BdbrN9OYOvmHuAAAAY
Player connected: ywAA7KNl4uGf5M-xAAAa
Player disconnected: 6ooBSypkZK3BOwpaAAAV
Player connected: 86FJM68D77kJaqM7AAAc
Player disconnected: ywAA7KNl4uGf5M-xAAAa
Player connected: MaWLpuF_Yt9nTiS_AAAe
Player disconnected: 86FJM68D77kJaqM7AAAc
Player connected: l-yKztkTt4pYCzo0AAAg
Player connected: ar1c8FzVyslW_ndfAAAi
Player disconnected: l-yKztkTt4pYCzo0AAAg
Player disconnected: MaWLpuF_Yt9nTiS_AAAe
Player disconnected: wUDls_oJ7vGtVDhlAAAW
Player disconnected: ar1c8FzVyslW_ndfAAAi
Player connected: GHS0IFU7cLgFq6WjAAAn
Player connected: T-ZFNxY2oAN6l2QNAAAp
Player connected: vrbTA00Et4ViD0G5AAAr
Player disconnected: T-ZFNxY2oAN6l2QNAAAp
Player disconnected: GHS0IFU7cLgFq6WjAAAn
Player disconnected: vrbTA00Et4ViD0G5AAAr
Player connected: 06qsPOZwtVvLs0OEAAAv
Player connected: ZFRZRtDTNYGXkyJ7AAAw
Player connected: fjC-CbrNLa42G9_NAAAx
Player disconnected: ZFRZRtDTNYGXkyJ7AAAw
Player disconnected: fjC-CbrNLa42G9_NAAAx
Player disconnected: 06qsPOZwtVvLs0OEAAAv
Player connected: ZmZs8C2-96f17294AAA0
Player connected: -5JXmnRJ2KEYZXdRAAA1
Player disconnected: -5JXmnRJ2KEYZXdRAAA1
Player disconnected: ZmZs8C2-96f17294AAA0
Player connected: ZYF1HEXgKTsTd31qAAA4
Player connected: dp1AT71TLJOhqiNSAAA5
Player disconnected: ZYF1HEXgKTsTd31qAAA4
Player disconnected: dp1AT71TLJOhqiNSAAA5
Player connected: seTN4Rk_uBt2Gu6AAAA-
Player connected: wosJNpHqvH5F2-lOAAA_
Player connected: _RZdI1mD49CeTQFIAABA
Player disconnected: wosJNpHqvH5F2-lOAAA_
Player disconnected: seTN4Rk_uBt2Gu6AAAA-
Player connected: PHH8D84wZdo_DqHbAABD
Player connected: YSMqfxu4LiXHBtVsAABE
Player disconnected: PHH8D84wZdo_DqHbAABD
Player disconnected: YSMqfxu4LiXHBtVsAABE
Player disconnected: _RZdI1mD49CeTQFIAABA
Player connected: GlYkbIrxtwf2G1kTAABI
Player connected: Z_UVryAYVW1S6zIqAABJ
Player connected: rwPw3NAQlj_C01VdAABK
Player disconnected: rwPw3NAQlj_C01VdAABK
Player disconnected: GlYkbIrxtwf2G1kTAABI
Player disconnected: Z_UVryAYVW1S6zIqAABJ
Player connected: NGSt407MqIQIgKMLAABO
Player connected: UAg3NtMX14JZcMjnAABP
Player connected: AKeQEJ0NehEcMuy9AABQ
Player disconnected: UAg3NtMX14JZcMjnAABP
Player disconnected: AKeQEJ0NehEcMuy9AABQ
Player disconnected: NGSt407MqIQIgKMLAABO
Player connected: jAoVTrEpjOPIrc5dAABU
Player disconnected: jAoVTrEpjOPIrc5dAABU
Player connected: qWvJd3bNI02C3yNBAABV
Player connected: 8ygdZjkg3kV3b4E0AABX
Player disconnected: 8ygdZjkg3kV3b4E0AABX
Player disconnected: qWvJd3bNI02C3yNBAABV
Player connected: AhfV1HbQfcRis951AABa
Player connected: A_Maj6Jnc8Dyc78hAABb
Player connected: K4Icc7M4SAI0p6htAABc
Player connected: 7WO7UHwehK_5IX1nAABf
Player connected: LcDVJfNHzf5lXSe4AABg
Player connected: GRpz9c3oDYbVPGxEAABi
Player disconnected: 7WO7UHwehK_5IX1nAABf
Player disconnected: LcDVJfNHzf5lXSe4AABg
Player disconnected: GRpz9c3oDYbVPGxEAABi
Player disconnected: AhfV1HbQfcRis951AABa
Player disconnected: A_Maj6Jnc8Dyc78hAABb
Player connected: E90ifxuN9dMOrISJAABm
Player connected: I1TJimTNRAI4JV3SAABn
Player disconnected: K4Icc7M4SAI0p6htAABc
Player connected: XmFQiS0M4ieEKHCSAABr
Player connected: b6SH7PNc-c1v46IaAABs
Player connected: AOGy08gT_rUwuWS7AABt
Player connected: kv0Hgs7nqWjuQ4igAABu
Player disconnected: XmFQiS0M4ieEKHCSAABr
Player disconnected: b6SH7PNc-c1v46IaAABs
Player disconnected: AOGy08gT_rUwuWS7AABt
Player disconnected: kv0Hgs7nqWjuQ4igAABu
Player connected: OSir7xxTQ8N7mbBJAABy
Player connected: WOheM6H58ASfBadpAABz
Player connected: 7TsyjmNatpWV25NqAAB0
Player disconnected: E90ifxuN9dMOrISJAABm
Player disconnected: I1TJimTNRAI4JV3SAABn
Player connected: 6TpXB9GoXHEoIlQPAAB3
Player connected: h5hvdsh_S4-IELjIAAB4
Player disconnected: WOheM6H58ASfBadpAABz
Player disconnected: OSir7xxTQ8N7mbBJAABy
