t=2026-06-06T20:11:12+0600 lvl=info msg="no configuration paths supplied"
t=2026-06-06T20:11:12+0600 lvl=info msg="using configuration at default config path" path=C:\\Users\\User\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-06-06T20:11:12+0600 lvl=info msg="open config file" path=C:\\Users\\User\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-06-06T20:11:12+0600 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-06T20:11:12+0600 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-06T20:11:13+0600 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-06T20:11:13+0600 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-06T20:11:14+0600 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5173 url=https://exemption-underwire-move.ngrok-free.dev
t=2026-06-06T20:11:42+0600 lvl=info msg=start pg=/api/tunnels id=0f0e23e51bb3d43f
t=2026-06-06T20:11:42+0600 lvl=info msg=end pg=/api/tunnels id=0f0e23e51bb3d43f status=200 dur=2.0021ms
t=2026-06-06T20:11:58+0600 lvl=info msg="join connections" obj=join id=d13351487603 l=[::1]:5173 r=178.217.173.234:55490
t=2026-06-06T20:11:58+0600 lvl=info msg="join connections" obj=join id=590b52e39709 l=[::1]:5173 r=178.217.173.234:55488
t=2026-06-06T20:12:26+0600 lvl=info msg="join connections" obj=join id=9a21c4ee44e8 l=[::1]:5173 r=178.217.173.234:61977
t=2026-06-06T20:12:27+0600 lvl=info msg="join connections" obj=join id=4b569c6a75b4 l=[::1]:5173 r=178.217.173.234:61909
t=2026-06-06T20:12:28+0600 lvl=info msg="join connections" obj=join id=9536de7c44ed l=[::1]:5173 r=178.217.173.234:61909
t=2026-06-06T20:12:28+0600 lvl=info msg="join connections" obj=join id=f7939efe5d19 l=[::1]:5173 r=178.217.173.234:61909
t=2026-06-06T20:12:28+0600 lvl=info msg="join connections" obj=join id=2e867e8fed4a l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:12:29+0600 lvl=info msg="join connections" obj=join id=a33bb2b4074d l=[::1]:5173 r=178.217.173.234:61909
t=2026-06-06T20:12:29+0600 lvl=info msg="join connections" obj=join id=488c2d8f4719 l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:12:29+0600 lvl=info msg="join connections" obj=join id=0cd09d1394d1 l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:12:29+0600 lvl=info msg="join connections" obj=join id=342cb87bfdfd l=[::1]:5173 r=178.217.173.234:55522
t=2026-06-06T20:12:30+0600 lvl=info msg="join connections" obj=join id=6ee71a550d5a l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:12:33+0600 lvl=info msg="join connections" obj=join id=fcb5e575a7b4 l=[::1]:5173 r=178.217.173.234:65146
t=2026-06-06T20:12:40+0600 lvl=info msg="join connections" obj=join id=09a82201c90e l=[::1]:5173 r=178.217.173.234:55530
t=2026-06-06T20:12:48+0600 lvl=info msg="join connections" obj=join id=b8ceea068394 l=[::1]:5173 r=178.217.173.234:61909
t=2026-06-06T20:12:49+0600 lvl=info msg="join connections" obj=join id=c83f917ad156 l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:12:50+0600 lvl=info msg="join connections" obj=join id=2959794d54d2 l=[::1]:5173 r=178.217.173.234:53593
t=2026-06-06T20:13:02+0600 lvl=info msg="join connections" obj=join id=433920f74fb4 l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:13:03+0600 lvl=info msg="join connections" obj=join id=724c2c7ebf43 l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:13:03+0600 lvl=info msg="join connections" obj=join id=715a8b6a48ee l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:13:04+0600 lvl=info msg="join connections" obj=join id=af4381eeaf97 l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:13:04+0600 lvl=info msg="join connections" obj=join id=50cfb9ff6733 l=[::1]:5173 r=46.251.201.162:61853
t=2026-06-06T20:13:16+0600 lvl=info msg="join connections" obj=join id=14d9d9ef2cb1 l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:13:16+0600 lvl=info msg="join connections" obj=join id=970ff6f77290 l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:13:16+0600 lvl=info msg="join connections" obj=join id=0b74f21c16a7 l=[::1]:5173 r=46.251.201.162:61857
t=2026-06-06T20:14:39+0600 lvl=info msg="join connections" obj=join id=e3d2612498ee l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:16:18+0600 lvl=info msg="join connections" obj=join id=485661df6f88 l=[::1]:5173 r=178.217.173.234:61909
t=2026-06-06T20:17:45+0600 lvl=info msg="join connections" obj=join id=6e4103dfe591 l=[::1]:5173 r=178.217.173.234:55985
